Shortest distances from landmark node 13304:
To node 56033:No path exists
To node 34220:No path exists
To node 12693:No path exists
To node 38194:No path exists
To node 13462:No path exists
To node 35452:No path exists
To node 50054:No path exists
To node 14959:No path exists
To node 18298:No path exists
To node 4772:No path exists
To node 42414:No path exists
To node 31487:No path exists
To node 6089:No path exists
To node 22873:No path exists
To node 4214:No path exists
To node 42158:No path exists
To node 46713:No path exists
To node 44963:No path exists
To node 37988:No path exists
To node 28529:No path exists
To node 13799:No path exists
To node 30998:No path exists
To node 23378:No path exists
To node 18794:No path exists
To node 7513:No path exists
To node 57767:No path exists
To node 50043:No path exists
To node 50312:No path exists
To node 20234:No path exists
To node 18428:No path exists
To node 49488:No path exists
To node 39277:No path exists
To node 55093:No path exists
To node 49180:No path exists
To node 46237:No path exists
To node 45059:No path exists
To node 46199:No path exists
To node 29924:No path exists
To node 36552:No path exists
To node 4275:No path exists
To node 10553:No path exists
To node 36264:No path exists
To node 39789:No path exists
To node 29476:No path exists
To node 14865:No path exists
To node 2730:No path exists
To node 55503:No path exists
To node 24347:No path exists
To node 7348:No path exists
To node 13769:No path exists
To node 4066:No path exists
To node 18206:No path exists
To node 11372:No path exists
To node 34808:No path exists
To node 36703:No path exists
To node 2583:No path exists
To node 40081:No path exists
To node 708:No path exists
To node 16234:No path exists
To node 53230:No path exists
To node 16469:No path exists
To node 51068:No path exists
To node 41019:No path exists
To node 48571:No path exists
To node 11476:No path exists
To node 31005:No path exists
To node 51700:No path exists
To node 21485:No path exists
To node 43402:No path exists
To node 13163:No path exists
To node 18632:No path exists
To node 47673:No path exists
To node 52348:No path exists
To node 16162:No path exists
To node 27532:No path exists
To node 18751:No path exists
To node 22920:No path exists
To node 4737:No path exists
To node 33735:No path exists
To node 46505:No path exists
To node 9960:No path exists
To node 53547:No path exists
To node 14027:No path exists
To node 29459:No path exists
To node 45668:No path exists
To node 3701:No path exists
To node 19656:No path exists
To node 540:No path exists
To node 56391:No path exists
To node 31551:No path exists
To node 41397:No path exists
To node 17043:No path exists
To node 56485:No path exists
To node 6439:No path exists
To node 25933:No path exists
To node 17660:No path exists
To node 32421:No path exists
To node 3694:No path exists
To node 3521:No path exists
To node 34048:No path exists
To node 47934:No path exists
To node 16972:No path exists
To node 54280:No path exists
To node 53699:No path exists
To node 47002:No path exists
To node 28202:No path exists
To node 31221:No path exists
To node 10689:No path exists
To node 9990:No path exists
To node 57109:No path exists
To node 40620:No path exists
To node 53859:No path exists
To node 34644:No path exists
To node 44150:No path exists
To node 10985:No path exists
To node 30512:No path exists
To node 46477:No path exists
To node 57411:No path exists
To node 3280:No path exists
To node 47132:No path exists
To node 28790:No path exists
To node 182:No path exists
To node 8053:No path exists
To node 13476:No path exists
To node 42609:No path exists
To node 2247:No path exists
To node 52461:No path exists
To node 14446:No path exists
To node 225:No path exists
To node 39433:No path exists
To node 57766:No path exists
To node 52957:No path exists
To node 33622:No path exists
To node 6725:No path exists
To node 41523:No path exists
To node 21635:No path exists
To node 25361:No path exists
To node 1855:No path exists
To node 57337:No path exists
To node 51987:No path exists
To node 38028:No path exists
To node 22563:No path exists
To node 51716:No path exists
To node 46019:No path exists
To node 54395:No path exists
To node 10953:No path exists
To node 16667:No path exists
To node 50207:No path exists
To node 4195:No path exists
To node 32593:No path exists
To node 19532:No path exists
To node 36672:No path exists
To node 4079:No path exists
To node 55513:No path exists
To node 36746:No path exists
To node 11993:No path exists
To node 48526:No path exists
To node 4042:No path exists
To node 52976:No path exists
To node 45095:No path exists
To node 54636:No path exists
To node 56725:No path exists
To node 55104:No path exists
To node 52629:No path exists
To node 44432:No path exists
To node 1335:No path exists
To node 22519:No path exists
To node 42509:No path exists
To node 55783:No path exists
To node 42920:No path exists
To node 39783:No path exists
To node 56192:No path exists
To node 16:No path exists
To node 33240:No path exists
To node 2732:No path exists
To node 13048:No path exists
To node 24087:No path exists
To node 36386:No path exists
To node 10631:No path exists
To node 34783:No path exists
To node 1540:No path exists
To node 53470:No path exists
To node 41791:No path exists
To node 46441:No path exists
To node 38940:No path exists
To node 9030:No path exists
To node 1881:No path exists
To node 38771:No path exists
To node 43471:No path exists
To node 45692:No path exists
To node 48094:No path exists
To node 11333:No path exists
To node 39923:No path exists
To node 25867:No path exists
To node 9680:No path exists
To node 31506:No path exists
To node 26014:No path exists
To node 9108:No path exists
To node 15658:No path exists
To node 12468:No path exists
To node 46628:No path exists
To node 29335:No path exists
To node 56552:No path exists
To node 8090:No path exists
To node 8953:No path exists
To node 16173:No path exists
To node 14417:No path exists
To node 12832:No path exists
To node 23541:No path exists
To node 38493:No path exists
To node 42966:No path exists
To node 39273:No path exists
To node 49797:No path exists
To node 40740:No path exists
To node 57042:No path exists
To node 22309:No path exists
To node 56194:No path exists
To node 37989:No path exists
To node 54814:No path exists
To node 1626:No path exists
To node 266:No path exists
To node 6292:No path exists
To node 56512:No path exists
To node 5395:No path exists
To node 23575:No path exists
To node 30070:No path exists
To node 3564:No path exists
To node 20969:No path exists
To node 33449:No path exists
To node 26017:No path exists
To node 12490:No path exists
To node 21608:No path exists
To node 38631:No path exists
To node 50101:No path exists
To node 20753:No path exists
To node 48118:No path exists
To node 21079:No path exists
To node 19467:No path exists
To node 15011:No path exists
To node 23226:No path exists
To node 48294:No path exists
To node 43617:No path exists
To node 42830:No path exists
To node 57723:No path exists
To node 24241:No path exists
To node 31622:No path exists
To node 9333:No path exists
To node 32385:No path exists
To node 50184:No path exists
To node 46304:No path exists
To node 2025:No path exists
To node 34115:No path exists
To node 34540:No path exists
To node 6247:No path exists
To node 46277:No path exists
To node 36097:No path exists
To node 26702:No path exists
To node 38598:No path exists
To node 14415:No path exists
To node 46473:No path exists
To node 53775:No path exists
To node 4775:No path exists
To node 56400:No path exists
To node 33393:No path exists
To node 44781:No path exists
To node 47364:No path exists
To node 35769:No path exists
To node 41453:No path exists
To node 39210:No path exists
To node 9939:No path exists
To node 55931:No path exists
To node 2336:No path exists
To node 39049:No path exists
To node 4085:No path exists
To node 29760:No path exists
To node 53599:No path exists
To node 32170:No path exists
To node 17074:No path exists
To node 29237:No path exists
To node 19593:No path exists
To node 20509:No path exists
To node 55312:No path exists
To node 4358:No path exists
To node 1500:No path exists
To node 33262:No path exists
To node 8211:No path exists
To node 26367:No path exists
To node 27104:No path exists
To node 56225:No path exists
To node 51847:No path exists
To node 9109:No path exists
To node 5574:No path exists
To node 39512:No path exists
Shortest distances from landmark node 30:
To node 30: 0
To node 3918: 3
To node 5211: 2
To node 31820: 3
To node 31378: 3
To node 3511: 2
To node 40934: 4
To node 54076: 4
To node 13063: 3
To node 52457: 4
